sched,carga,pathloss,alpha,seed,jfi_slots,jfi_throughput,jfi_win,starv_p95,starv_max,throughput_aggregate_bps,throughput_mean_per_ue_bps,thr_5pct,nunca,gini_slots,gini_throughput,slots_vec,thr_vec,j_beta_-3.0,j_beta_-2.0,j_beta_-1.0,j_beta_+0.0,j_beta_+0.5,j_beta_+0.9
PF,8,True,4.0,10,0.9905311560877411,0.6996179810811429,0.9747205961159779,19.0,41,51205796.75,6400724.59375,3231629.2875,0,0.04620000000000002,0.3075487816962832,"1551,1248,1160,1157,1158,1203,1286,1237","16781312.000,6140571.500,3434079.750,3122617.500,3714986.000,4435138.000,7781767.500,5795324.500",0.9794841923276032,0.9851993709863307,0.9905311560877412,0.9954645986602111,0.9977815256645556,0.9995640990947584
RR,8,True,4.0,11,1.0,0.6635357423400481,1.0,8.0,8,37892718.0,4736589.75,1132644.475,0,0.0,0.387979636021359,"1250,1250,1250,1250,1250,1250,1250,1250","4178078.000,1790433.750,5467205.500,10712576.000,9452915.000,2860510.500,2652549.000,778450.250",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,11,0.26330728697650563,0.25325430167138063,0.2613291325794631,9.0,1759,96219803.35058594,12027475.418823242,2784.5148925781255,1,0.7539750000000001,0.7640889237336097,"92,2,424,5863,3593,18,8,0","573695.000,7955.757,3150023.500,58319096.000,34033248.000,93672.219,42112.875,0.000",0.24376953662398954,0.25100571156192747,0.2633072869765056,0.30038359599566905,0.38360072114353594,0.6901077149678367
PF,8,True,4.0,11,0.9915651912070854,0.7431236789423579,0.9780764311823996,19.0,44,61991319.375,7748914.921875,2389074.09375,0,0.052000000000000046,0.326939965163066,"1262,1143,1288,1443,1393,1202,1192,1077","7331679.500,3634949.000,9308777.000,15280747.000,14161150.000,5490099.000,5065699.500,1718218.375",0.9832219984720776,0.9873726611193047,0.9915651912070854,0.9957806323774555,0.9978909977089726,0.9995784192007288
RR,8,True,4.0,12,1.0,0.755289193317008,1.0,8.0,8,40390875.0,5048859.375,2291832.525,0,0.0,0.3051733405131729,"1250,1250,1250,1250,1250,1250,1250,1250","6459350.000,2494292.250,7794449.000,2182815.750,4135830.750,2963879.500,3469421.750,10890836.000",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,12,0.2408140609519268,0.22166304508706772,0.24062947359401599,15.0,5004,94784958.03125,11848119.75390625,27208.13125,0,0.7574000000000001,0.7765114952936047,"918,6,1971,6,135,26,71,6867","7313078.500,26480.328,17339672.000,28559.766,874876.938,138524.438,425278.062,68638488.000",0.20583954369004615,0.2168585131712843,0.24081406095192684,0.3121147099521339,0.43994509052599806,0.8081711627153226
PF,8,True,4.0,12,0.9949342722541327,0.8321981003673841,0.981761806935306,19.0,38,66308390.5,8288548.8125,4428257.2,0,0.03842499999999993,0.24638968106909487,"1288,1175,1324,1154,1231,1178,1213,1437","10436289.000,4755007.000,12183160.000,4252315.000,7385666.500,5545769.500,6372680.500,15377503.000",0.9895656413888224,0.9922845578866453,0.9949342722541326,0.9975079065030312,0.9987644319529656,0.9997545864916526
RR,8,True,4.0,13,1.0,0.589963847377149,1.0,8.0,8,30761084.0,3845135.5,1567470.4625,0,0.0,0.38757211973576733,"1250,1250,1250,1250,1250,1250,1250,1250","1470529.125,11633958.000,1933064.750,3157129.500,1747504.375,5787622.500,2695798.500,2335477.250",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,13,0.15442826382158906,0.14414894281875343,0.15477638159722207,11.0,2272,95710803.23828125,11963850.404785156,32134.1517578125,0,0.8385750000000001,0.8526476070821118,"7,8956,13,90,12,850,47,25","23756.586,88930584.000,51661.938,441408.344,47692.488,5894955.000,214050.016,106694.867",0.1447925287189202,0.14741886683252245,0.15442826382158906,0.18885105914875558,0.29972687249500696,0.753663978165589
PF,8,True,4.0,13,0.9904884581945725,0.7041942887174288,0.9736194890740454,20.0,40,52778800.25,6597350.03125,3286103.8125,0,0.047250000000000014,0.314271224008166,"1150,1545,1165,1244,1164,1318,1211,1203","3109725.250,16608715.000,3854736.500,5948971.500,3613664.000,9906066.000,5097072.000,4639850.000",0.979517959355406,0.9851775298755062,0.9904884581945724,0.9954310797144676,0.9977620978556379,0.9995598227683606
